datetime,grid_id,value
2018-02-01T08:00:00Z,3S31A,11.4
2018-02-01T08:00:00Z,A2FBI,17
2018-02-01T08:00:00Z,DJN0F,11.1
2018-02-01T08:00:00Z,E5P9N,22.1
2018-02-01T08:00:00Z,FRITQ,29.8
2018-02-01T08:00:00Z,H96P6,12.8
2018-02-01T08:00:00Z,PG3MI,21
2018-02-01T08:00:00Z,QJHW4,5.2
2018-02-01T08:00:00Z,WT52R,6.5
2018-02-01T08:00:00Z,X5DKW,17.7
2018-02-01T08:00:00Z,ZP1FZ,6.2
2018-02-01T08:00:00Z,ZZ8JF,8.1
2018-02-01T16:00:00Z,1X116,12.85714286
2018-02-01T16:00:00Z,90BZ1,11.21428571
2018-02-01T16:00:00Z,9Q6TA,14.35714286
2018-02-01T16:00:00Z,KW43U,11.92857143
2018-02-01T16:00:00Z,VR4WG,12.5
2018-02-01T16:00:00Z,XJF9O,13.57142857
2018-02-01T16:00:00Z,XNLVD,14.23076923
2018-02-01T18:30:00Z,1Z2W7,142.525625
2018-02-01T18:30:00Z,90S79,139.1578947
2018-02-01T18:30:00Z,A7UCQ,98.34517241
2018-02-01T18:30:00Z,D7S1G,63.9375
2018-02-01T18:30:00Z,E2AUK,148.7823529
2018-02-01T18:30:00Z,GAC6R,112.5714286
2018-02-01T18:30:00Z,GJLB2,132.135
2018-02-01T18:30:00Z,HANW9,148.6875
2018-02-01T18:30:00Z,HM74A,154.875
2018-02-01T18:30:00Z,KZ9W9,101.3043478
2018-02-01T18:30:00Z,P8JA5,146.3703704
2018-02-01T18:30:00Z,PJNW1,78.606
2018-02-02T16:00:00Z,1X116,27.0625
2018-02-02T16:00:00Z,90BZ1,23.3125
2018-02-02T16:00:00Z,9Q6TA,23.8125
2018-02-02T16:00:00Z,KW43U,24.1875
2018-02-02T16:00:00Z,VR4WG,22.5
2018-02-02T16:00:00Z,XJF9O,23.4375
2018-02-02T16:00:00Z,XNLVD,37.8125
2018-02-02T18:30:00Z,1Z2W7,94.57411765
2018-02-02T18:30:00Z,90S79,121.4615385
2018-02-02T18:30:00Z,A7UCQ,79.65213115
2018-02-02T18:30:00Z,D7S1G,72.35227273
2018-02-02T18:30:00Z,E2AUK,132.46
2018-02-02T18:30:00Z,GJLB2,102.054375
2018-02-02T18:30:00Z,HANW9,111.4285714
2018-02-02T18:30:00Z,HM74A,101.7333333
2018-02-02T18:30:00Z,KZ9W9,86.04160714
2018-02-02T18:30:00Z,P8JA5,99.6875
2018-02-02T18:30:00Z,PJNW1,69.16058824
2018-02-03T08:00:00Z,3S31A,27.2
2018-02-03T08:00:00Z,A2FBI,18
2018-02-03T08:00:00Z,DJN0F,27.3
2018-02-03T08:00:00Z,E5P9N,32.3
2018-02-03T08:00:00Z,FRITQ,45.3
2018-02-03T08:00:00Z,H96P6,12.8
2018-02-03T08:00:00Z,PG3MI,20
2018-02-03T08:00:00Z,QJHW4,0.4
2018-02-03T08:00:00Z,WT52R,8.5
2018-02-03T08:00:00Z,X5DKW,39.1
2018-02-03T08:00:00Z,ZP1FZ,7.2
2018-02-03T08:00:00Z,ZZ8JF,6.9
2018-02-03T16:00:00Z,1X116,8.125
2018-02-03T16:00:00Z,90BZ1,8.625
2018-02-03T16:00:00Z,9Q6TA,10.66666667
2018-02-03T16:00:00Z,KW43U,9
2018-02-03T16:00:00Z,VR4WG,11.875
2018-02-03T16:00:00Z,XJF9O,9.625
2018-02-03T16:00:00Z,XNLVD,41
2018-02-03T18:30:00Z,1Z2W7,129.6581818
2018-02-03T18:30:00Z,90S79,165.1428571
2018-02-03T18:30:00Z,A7UCQ,103.3329231
2018-02-03T18:30:00Z,D7S1G,69.67586207
2018-02-03T18:30:00Z,E2AUK,144.1642857
2018-02-03T18:30:00Z,GJLB2,147.466
